"Z13U_REC_KEY","Z13_TITLE","Z13_IMPRINT","CONTROL_NUMBER","Z13_UPDATE_DATE"
"000963076","The HVX BootCamp Volume I: Camera Ops","[San Francisco, California, USA] : Kanopy Streaming, 2015.","(CaSfKAN)kan1125401","20150915"
"000963077","Horror Effects Hosted By Tom Savini","[San Francisco, California, USA] : Kanopy Streaming, 2015.","(CaSfKAN)kan1124962","20150915"
"000963078","Speaking Of Creativity: How To Be Creative","[San Francisco, California, USA] : Kanopy Streaming, 2015.","(CaSfKAN)kan1064479","20150915"
"000963079","Codebreaker - Bletchley Park's Lost Heroes","[San Francisco, California, USA] : Kanopy Streaming, 2015.","(CaSfKAN)kan1076709","20150915"
"000963080","The Republic of Virtue","[San Francisco, California, USA] : Kanopy Streaming, 2015.","(CaSfKAN)kan1077982","20150915"
"000963120","Inside the State Historical Museum, Moscow","[San Francisco, California, USA] : Kanopy Streaming, 2015.","(CaSfKAN)kan1098901","20150915"
"000963121","Fiction into Film: Literature Goes to the Movies","[San Francisco, California, USA] : Kanopy Streaming, 2015.","(CaSfKAN)kan1153620","20150915"
"000963122","The IRA","[San Francisco, California, USA] : Kanopy Streaming, 2015.","(CaSfKAN)kan1078160","20150915"
"000963081","The Planets: Moon","[San Francisco, California, USA] : Kanopy Streaming, 2015.","(CaSfKAN)kan1060895","20150915"
"000963082","Leadership Lessons from the Gridiron by Steve Young","[San Francisco, California, USA] : Kanopy Streaming, 2015.","(CaSfKAN)kan1087474","20150915"
"000963083","Heroes of the Enlightenment - Part 1","[San Francisco, California, USA] : Kanopy Streaming, 2015.","(CaSfKAN)kan1077688","20150915"
"000963084","Heroes of the Enlightenment - Part 2","[San Francisco, California, USA] : Kanopy Streaming, 2015.","(CaSfKAN)kan1077690","20150915"
"000963085","Algeria & the OAS","[San Francisco, California, USA] : Kanopy Streaming, 2015.","(CaSfKAN)kan1078176","20150915"
"000963086","Neanderthal","[San Francisco, California, USA] : Kanopy Streaming, 2015.","(CaSfKAN)kan1086909","20150915"
